"","Pclass.2","Pclass.3","Sex.male","Embarked.Q","Embarked.S","family.small","family.solo","title.Master","title.Miss","title.Mr","title.Mrs","Age","Cabin.1","Cabin.2","Cabin.3","Cabin.4","ticket_group.small","ticket_group.solo","Fare","Survived"
"1",0,1,1,0,1,1,0,0,0,1,0,22,0,0,0,0,0,1,7.25,0
"2",0,0,0,0,0,1,0,0,0,0,1,38,1,0,0,0,1,0,71.2833,1
"3",0,1,0,0,1,0,1,0,1,0,0,26,0,0,0,0,0,1,7.925,1
"4",0,0,0,0,1,1,0,0,0,0,1,35,1,0,0,0,1,0,53.1,1
"5",0,1,1,0,1,0,1,0,0,1,0,35,0,0,0,0,0,1,8.05,0
"6",0,1,1,1,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.4583,0
"7",0,0,1,0,1,0,1,0,0,1,0,54,1,0,0,0,1,0,51.8625,0
"8",0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,21.075,0
"9",0,1,0,0,1,1,0,0,0,0,1,27,0,0,0,0,1,0,11.1333,1
"10",1,0,0,0,0,1,0,0,0,0,1,14,0,0,0,0,1,0,30.0708,1
"11",0,1,0,0,1,1,0,0,1,0,0,4,1,0,0,0,1,0,16.7,1
"12",0,0,0,0,1,0,1,0,1,0,0,58,1,0,0,0,0,1,26.55,1
"13",0,1,1,0,1,0,1,0,0,1,0,20,0,0,0,0,0,1,8.05,0
"14",0,1,1,0,1,0,0,0,0,1,0,39,0,0,0,0,0,0,31.275,0
"15",0,1,0,0,1,0,1,0,1,0,0,14,0,0,0,0,0,1,7.8542,0
"16",1,0,0,0,1,0,1,0,0,0,1,55,0,0,0,0,0,1,16,1
"17",0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,29.125,0
"18",1,0,1,0,1,0,1,0,0,1,0,33.0771144278607,0,0,0,0,0,1,13,1
"19",0,1,0,0,1,1,0,0,0,0,1,31,0,0,0,0,1,0,18,0
"20",0,1,0,0,0,0,1,0,0,0,1,28.8628808864266,0,0,0,0,0,1,7.225,1
"21",1,0,1,0,1,0,1,0,0,1,0,35,0,0,0,0,1,0,26,0
"22",1,0,1,0,1,0,1,0,0,1,0,34,1,0,0,0,0,1,13,1
"23",0,1,0,1,0,0,1,0,1,0,0,15,0,0,0,0,0,1,8.0292,1
"24",0,0,1,0,1,0,1,0,0,1,0,28,1,0,0,0,0,1,35.5,1
"25",0,1,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,21.075,0
"26",0,1,0,0,1,0,0,0,0,0,1,38,0,0,0,0,0,0,31.3875,1
"27",0,1,1,0,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.225,0
"28",0,0,1,0,1,0,0,0,0,1,0,19,0,0,1,0,0,0,263,0
"29",0,1,0,1,0,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.8792,1
"30",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.8958,0
"31",0,0,1,0,0,0,1,1,0,0,0,40,0,0,0,0,0,1,27.7208,0
"32",0,0,0,0,0,1,0,0,0,0,1,42.3995327102804,1,0,0,0,1,0,146.5208,1
"33",0,1,0,1,0,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.75,1
"34",1,0,1,0,1,0,1,0,0,1,0,66,0,0,0,0,0,1,10.5,0
"35",0,0,1,0,0,1,0,0,0,1,0,28,0,0,0,0,1,0,82.1708,0
"36",0,0,1,0,1,1,0,0,0,1,0,42,0,0,0,0,1,0,52,0
"37",0,1,1,0,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.2292,1
"38",0,1,1,0,1,0,1,0,0,1,0,21,0,0,0,0,0,1,8.05,0
"39",0,1,0,0,1,1,0,0,1,0,0,18,0,0,0,0,1,0,18,0
"40",0,1,0,0,0,1,0,0,1,0,0,14,0,0,0,0,1,0,11.2417,1
"41",0,1,0,0,1,1,0,0,0,0,1,40,0,0,0,0,0,1,9.475,0
"42",1,0,0,0,1,1,0,0,0,0,1,27,0,0,0,0,1,0,21,0
"43",0,1,1,0,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.8958,0
"44",1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,41.5792,1
"45",0,1,0,1,0,0,1,0,1,0,0,19,0,0,0,0,0,1,7.8792,1
"46",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.05,0
"47",0,1,1,1,0,1,0,0,0,1,0,28.8628808864266,0,0,0,0,1,0,15.5,0
"48",0,1,0,1,0,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.75,1
"49",0,1,1,0,0,1,0,0,0,1,0,28.8628808864266,0,0,0,0,1,0,21.6792,0
"50",0,1,0,0,1,1,0,0,0,0,1,18,0,0,0,0,1,0,17.8,0
"51",0,1,1,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,39.6875,0
"52",0,1,1,0,1,0,1,0,0,1,0,21,0,0,0,0,0,1,7.8,0
"53",0,0,0,0,0,1,0,0,0,0,1,49,1,0,0,0,1,0,76.7292,1
"54",1,0,0,0,1,1,0,0,0,0,1,29,0,0,0,0,1,0,26,1
"55",0,0,1,0,0,1,0,0,0,1,0,65,1,0,0,0,1,0,61.9792,0
"56",0,0,1,0,1,0,1,0,0,1,0,42.3995327102804,1,0,0,0,0,1,35.5,1
"57",1,0,0,0,1,0,1,0,1,0,0,21,0,0,0,0,0,1,10.5,1
"58",0,1,1,0,0,0,1,0,0,1,0,28.5,0,0,0,0,0,1,7.2292,0
"59",1,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,1,0,27.75,1
"60",0,1,1,0,1,0,0,1,0,0,0,11,0,0,0,0,0,0,46.9,0
"61",0,1,1,0,0,0,1,0,0,1,0,22,0,0,0,0,0,1,7.2292,0
"62",0,0,0,0,1,0,1,0,1,0,0,38,1,0,0,0,1,0,80,1
"63",0,0,1,0,1,1,0,0,0,1,0,45,1,0,0,0,1,0,83.475,0
"64",0,1,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,27.9,0
"65",0,0,1,0,0,0,1,0,0,1,0,42.3995327102804,0,0,0,0,0,1,27.7208,0
"66",0,1,1,0,0,1,0,1,0,0,0,7.12378640776699,0,0,0,0,1,0,15.2458,1
"67",1,0,0,0,1,0,1,0,0,0,1,29,1,0,0,0,0,1,10.5,1
"68",0,1,1,0,1,0,1,0,0,1,0,19,0,0,0,0,0,1,8.1583,0
"69",0,1,0,0,1,0,0,0,1,0,0,17,0,0,0,0,0,1,7.925,1
"70",0,1,1,0,1,1,0,0,0,1,0,26,0,0,0,0,0,1,8.6625,0
"71",1,0,1,0,1,0,1,0,0,1,0,32,0,0,0,0,0,1,10.5,0
"72",0,1,0,0,1,0,0,0,1,0,0,16,0,0,0,0,0,0,46.9,0
"73",1,0,1,0,1,0,1,0,0,1,0,21,0,0,0,0,0,0,73.5,0
"74",0,1,1,0,0,1,0,0,0,1,0,26,0,0,0,0,1,0,14.4542,0
"75",0,1,1,0,1,0,1,0,0,1,0,32,0,0,0,0,0,0,56.4958,1
"76",0,1,1,0,1,0,1,0,0,1,0,25,0,1,0,0,0,1,7.65,0
"77",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.8958,0
"78",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.05,0
"79",1,0,1,0,1,1,0,1,0,0,0,0.83,0,0,0,0,1,0,29,1
"80",0,1,0,0,1,0,1,0,1,0,0,30,0,0,0,0,1,0,12.475,1
"81",0,1,1,0,1,0,1,0,0,1,0,22,0,0,0,0,0,1,9,0
"82",0,1,1,0,1,0,1,0,0,1,0,29,0,0,0,0,0,1,9.5,1
"83",0,1,0,1,0,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.7875,1
"84",0,0,1,0,1,0,1,0,0,1,0,28,0,0,0,0,1,0,47.1,0
"85",1,0,0,0,1,0,1,0,1,0,0,17,0,0,0,0,0,1,10.5,1
"86",0,1,0,0,1,1,0,0,0,0,1,33,0,0,0,0,1,0,15.85,1
"87",0,1,1,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,34.375,0
"88",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.05,0
"89",0,0,0,0,1,0,0,0,1,0,0,23,0,0,1,0,0,0,263,1
"90",0,1,1,0,1,0,1,0,0,1,0,24,0,0,0,0,0,1,8.05,0
"91",0,1,1,0,1,0,1,0,0,1,0,29,0,0,0,0,0,1,8.05,0
"92",0,1,1,0,1,0,1,0,0,1,0,20,0,0,0,0,0,1,7.8542,0
"93",0,0,1,0,1,1,0,0,0,1,0,46,1,0,0,0,1,0,61.175,0
"94",0,1,1,0,1,1,0,0,0,1,0,26,0,0,0,0,1,0,20.575,0
"95",0,1,1,0,1,0,1,0,0,1,0,59,0,0,0,0,0,1,7.25,0
"96",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.05,0
"97",0,0,1,0,0,0,1,0,0,1,0,71,1,0,0,0,0,1,34.6542,0
"98",0,0,1,0,0,1,0,0,0,1,0,23,0,1,0,0,1,0,63.3583,1
"99",1,0,0,0,1,1,0,0,0,0,1,34,0,0,0,0,1,0,23,1
"100",1,0,1,0,1,1,0,0,0,1,0,34,0,0,0,0,1,0,26,0
"101",0,1,0,0,1,0,1,0,1,0,0,28,0,0,0,0,0,1,7.8958,0
"102",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.8958,0
"103",0,0,1,0,1,1,0,0,0,1,0,21,1,0,0,0,1,0,77.2875,0
"104",0,1,1,0,1,0,1,0,0,1,0,33,0,0,0,0,0,1,8.6542,0
"105",0,1,1,0,1,1,0,0,0,1,0,37,0,0,0,0,0,1,7.925,0
"106",0,1,1,0,1,0,1,0,0,1,0,28,0,0,0,0,0,1,7.8958,0
"107",0,1,0,0,1,0,1,0,1,0,0,21,0,0,0,0,0,1,7.65,1
"108",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.775,1
"109",0,1,1,0,1,0,1,0,0,1,0,38,0,0,0,0,0,1,7.8958,0
"110",0,1,0,1,0,1,0,0,1,0,0,24.0104166666667,0,0,0,0,1,0,24.15,1
"111",0,0,1,0,1,0,1,0,0,1,0,47,1,0,0,0,1,0,52,0
"112",0,1,0,0,0,1,0,0,1,0,0,14.5,0,0,0,0,1,0,14.4542,0
"113",0,1,1,0,1,0,1,0,0,1,0,22,0,0,0,0,0,1,8.05,0
"114",0,1,0,0,1,1,0,0,1,0,0,20,0,0,0,0,0,1,9.825,0
"115",0,1,0,0,0,0,1,0,1,0,0,17,0,0,0,0,1,0,14.4583,0
"116",0,1,1,0,1,0,1,0,0,1,0,21,0,0,0,0,0,1,7.925,0
"117",0,1,1,1,0,0,1,0,0,1,0,70.5,0,0,0,0,0,1,7.75,0
"118",1,0,1,0,1,1,0,0,0,1,0,29,0,0,0,0,1,0,21,0
"119",0,0,1,0,0,1,0,0,0,1,0,24,0,1,0,0,1,0,247.5208,0
"120",0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,31.275,0
"121",1,0,1,0,1,1,0,0,0,1,0,21,0,0,0,0,0,0,73.5,0
"122",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.05,0
"123",1,0,1,0,0,1,0,0,0,1,0,32.5,0,0,0,0,1,0,30.0708,0
"124",1,0,0,0,1,0,1,0,1,0,0,32.5,1,0,0,0,0,1,13,1
"125",0,0,1,0,1,1,0,0,0,1,0,54,1,0,0,0,1,0,77.2875,0
"126",0,1,1,0,0,1,0,1,0,0,0,12,0,0,0,0,1,0,11.2417,1
"127",0,1,1,1,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.75,0
"128",0,1,1,0,1,0,1,0,0,1,0,24,0,0,0,0,0,1,7.1417,1
"129",0,1,0,0,0,1,0,0,1,0,0,7.12378640776699,0,1,0,0,1,0,22.3583,1
"130",0,1,1,0,1,0,1,0,0,1,0,45,0,0,0,0,0,1,6.975,0
"131",0,1,1,0,0,0,1,0,0,1,0,33,0,0,0,0,0,1,7.8958,0
"132",0,1,1,0,1,0,1,0,0,1,0,20,0,0,0,0,0,1,7.05,0
"133",0,1,0,0,1,1,0,0,0,0,1,47,0,0,0,0,1,0,14.5,0
"134",1,0,0,0,1,1,0,0,0,0,1,29,0,0,0,0,1,0,26,1
"135",1,0,1,0,1,0,1,0,0,1,0,25,0,0,0,0,0,1,13,0
"136",1,0,1,0,0,0,1,0,0,1,0,23,0,0,0,0,0,1,15.0458,0
"137",0,0,0,0,1,1,0,0,1,0,0,19,1,0,0,0,0,1,26.2833,1
"138",0,0,1,0,1,1,0,0,0,1,0,37,1,0,0,0,1,0,53.1,0
"139",0,1,1,0,1,0,1,0,0,1,0,16,0,0,0,0,1,0,9.2167,0
"140",0,0,1,0,0,0,1,0,0,1,0,24,1,0,0,0,1,0,79.2,0
"141",0,1,0,0,0,1,0,0,0,0,1,28.8628808864266,0,0,0,0,1,0,15.2458,0
"142",0,1,0,0,1,0,1,0,1,0,0,22,0,0,0,0,0,1,7.75,1
"143",0,1,0,0,1,1,0,0,0,0,1,24,0,0,0,0,1,0,15.85,1
"144",0,1,1,1,0,0,1,0,0,1,0,19,0,0,0,0,0,1,6.75,0
"145",1,0,1,0,1,0,1,0,0,1,0,18,0,0,0,0,0,1,11.5,0
"146",1,0,1,0,1,1,0,0,0,1,0,19,0,0,0,0,1,0,36.75,0
"147",0,1,1,0,1,0,1,0,0,1,0,27,0,0,0,0,0,1,7.7958,1
"148",0,1,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,34.375,0
"149",1,0,1,0,1,1,0,0,0,1,0,36.5,1,0,0,0,1,0,26,0
"150",1,0,1,0,1,0,1,0,0,0,0,42,0,0,0,0,0,1,13,0
"151",1,0,1,0,1,0,1,0,0,0,0,51,0,0,0,0,0,1,12.525,0
"152",0,0,0,0,1,1,0,0,0,0,1,22,1,0,0,0,1,0,66.6,1
"153",0,1,1,0,1,0,1,0,0,1,0,55.5,0,0,0,0,0,1,8.05,0
"154",0,1,1,0,1,1,0,0,0,1,0,40.5,0,0,0,0,1,0,14.5,0
"155",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.3125,0
"156",0,0,1,0,0,1,0,0,0,1,0,51,0,0,0,0,1,0,61.3792,0
"157",0,1,0,1,0,0,1,0,1,0,0,16,0,0,0,0,0,1,7.7333,1
"158",0,1,1,0,1,0,1,0,0,1,0,30,0,0,0,0,0,1,8.05,0
"159",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,8.6625,0
"160",0,1,1,0,1,0,0,1,0,0,0,18.8168,0,0,0,0,0,0,69.55,0
"161",0,1,1,0,1,1,0,0,0,1,0,44,0,0,0,0,1,0,16.1,0
"162",1,0,0,0,1,0,1,0,0,0,1,40,0,0,0,0,1,0,15.75,1
"163",0,1,1,0,1,0,1,0,0,1,0,26,0,0,0,0,0,1,7.775,0
"164",0,1,1,0,1,0,1,0,0,1,0,17,0,0,0,0,0,1,8.6625,0
"165",0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,39.6875,0
"166",0,1,1,0,1,1,0,1,0,0,0,9,0,0,0,0,1,0,20.525,1
"167",0,0,0,0,1,1,0,0,0,0,1,42.3995327102804,1,0,0,0,1,0,55,1
"168",0,1,0,0,1,0,0,0,0,0,1,45,0,0,0,0,0,0,27.9,0
"169",0,0,1,0,1,0,1,0,0,1,0,42.3995327102804,0,0,0,0,0,1,25.925,0
"170",0,1,1,0,1,0,1,0,0,1,0,28,0,0,0,0,0,0,56.4958,0
"171",0,0,1,0,1,0,1,0,0,1,0,61,1,0,0,0,0,1,33.5,0
"172",0,1,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,29.125,0
"173",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,11.1333,1
"174",0,1,1,0,1,0,1,0,0,1,0,21,0,0,0,0,0,1,7.925,0
"175",0,0,1,0,0,0,1,0,0,1,0,56,1,0,0,0,0,1,30.6958,0
"176",0,1,1,0,1,1,0,0,0,1,0,18,0,0,0,0,0,1,7.8542,0
"177",0,1,1,0,1,0,0,1,0,0,0,7.12378640776699,0,0,0,0,0,0,25.4667,0
"178",0,0,0,0,0,0,1,0,1,0,0,50,1,0,0,0,0,1,28.7125,0
"179",1,0,1,0,1,0,1,0,0,1,0,30,0,0,0,0,0,1,13,0
"180",0,1,1,0,1,0,1,0,0,1,0,36,0,0,0,0,1,0,0,0
"181",0,1,0,0,1,0,0,0,1,0,0,18.8168,0,0,0,0,0,0,69.55,0
"182",1,0,1,0,0,0,1,0,0,1,0,33.0771144278607,0,0,0,0,0,1,15.05,0
"183",0,1,1,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,31.3875,0
"184",1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,39,1
"185",0,1,0,0,1,1,0,0,1,0,0,4,0,0,0,0,1,0,22.025,1
"186",0,0,1,0,1,0,1,0,0,1,0,42.3995327102804,1,0,0,0,0,1,50,0
"187",0,1,0,1,0,1,0,0,0,0,1,28.8628808864266,0,0,0,0,1,0,15.5,1
"188",0,0,1,0,1,0,1,0,0,1,0,45,0,0,0,0,0,1,26.55,1
"189",0,1,1,1,0,1,0,0,0,1,0,40,0,0,0,0,1,0,15.5,0
"190",0,1,1,0,1,0,1,0,0,1,0,36,0,0,0,0,0,1,7.8958,0
"191",1,0,0,0,1,0,1,0,0,0,1,32,0,0,0,0,0,1,13,1
"192",1,0,1,0,1,0,1,0,0,1,0,19,0,0,0,0,0,1,13,0
"193",0,1,0,0,1,1,0,0,1,0,0,19,0,0,0,0,0,1,7.8542,1
"194",1,0,1,0,1,1,0,1,0,0,0,3,1,0,0,0,1,0,26,1
"195",0,0,0,0,0,0,1,0,0,0,1,44,1,0,0,0,0,1,27.7208,1
"196",0,0,0,0,0,0,1,0,1,0,0,58,1,0,0,0,1,0,146.5208,1
"197",0,1,1,1,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.75,0
"198",0,1,1,0,1,1,0,0,0,1,0,42,0,0,0,0,0,1,8.4042,0
"199",0,1,0,1,0,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.75,1
"200",1,0,0,0,1,0,1,0,1,0,0,24,0,0,0,0,0,1,13,0
"201",0,1,1,0,1,0,1,0,0,1,0,28,0,0,0,0,0,1,9.5,0
"202",0,1,1,0,1,0,0,0,0,1,0,28.8628808864266,0,0,0,0,0,0,69.55,0
"203",0,1,1,0,1,0,1,0,0,1,0,34,0,0,0,0,0,1,6.4958,0
"204",0,1,1,0,0,0,1,0,0,1,0,45.5,0,0,0,0,0,1,7.225,0
"205",0,1,1,0,1,0,1,0,0,1,0,18,0,0,0,0,0,1,8.05,1
"206",0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,10.4625,0
"207",0,1,1,0,1,1,0,0,0,1,0,32,0,0,0,0,1,0,15.85,0
"208",0,1,1,0,0,0,1,0,0,1,0,26,0,0,0,0,1,0,18.7875,1
"209",0,1,0,1,0,0,1,0,1,0,0,16,0,0,0,0,0,1,7.75,1
"210",0,0,1,0,0,0,1,0,0,1,0,40,1,0,0,0,0,1,31,1
"211",0,1,1,0,1,0,1,0,0,1,0,24,0,0,0,0,0,1,7.05,0
"212",1,0,0,0,1,0,1,0,1,0,0,35,0,0,0,0,1,0,21,1
"213",0,1,1,0,1,0,1,0,0,1,0,22,0,0,0,0,0,1,7.25,0
"214",1,0,1,0,1,0,1,0,0,1,0,30,0,0,0,0,0,1,13,0
"215",0,1,1,1,0,1,0,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.75,0
"216",0,0,0,0,0,1,0,0,1,0,0,31,1,0,0,0,1,0,113.275,1
"217",0,1,0,0,1,0,1,0,1,0,0,27,0,0,0,0,0,1,7.925,1
"218",1,0,1,0,1,1,0,0,0,1,0,42,0,0,0,0,1,0,27,0
"219",0,0,0,0,0,0,1,0,1,0,0,32,1,0,0,0,1,0,76.2917,1
"220",1,0,1,0,1,0,1,0,0,1,0,30,0,0,0,0,0,1,10.5,0
"221",0,1,1,0,1,0,1,0,0,1,0,16,0,0,0,0,0,1,8.05,1
"222",1,0,1,0,1,0,1,0,0,1,0,27,0,0,0,0,0,1,13,0
"223",0,1,1,0,1,0,1,0,0,1,0,51,0,0,0,0,0,1,8.05,0
"224",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.8958,0
"225",0,0,1,0,1,1,0,0,0,1,0,38,1,0,0,0,1,0,90,1
"226",0,1,1,0,1,0,1,0,0,1,0,22,0,0,0,0,0,1,9.35,0
"227",1,0,1,0,1,0,1,0,0,1,0,19,0,0,0,0,0,1,10.5,1
"228",0,1,1,0,1,0,1,0,0,1,0,20.5,0,0,0,0,0,1,7.25,0
"229",1,0,1,0,1,0,1,0,0,1,0,18,0,0,0,0,0,1,13,0
"230",0,1,0,0,1,0,0,0,1,0,0,7.12378640776699,0,0,0,0,0,0,25.4667,0
"231",0,0,0,0,1,1,0,0,0,0,1,35,1,0,0,0,1,0,83.475,1
"232",0,1,1,0,1,0,1,0,0,1,0,29,0,0,0,0,0,1,7.775,0
"233",1,0,1,0,1,0,1,0,0,1,0,59,0,0,0,0,0,1,13.5,0
"234",0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,31.3875,1
"235",1,0,1,0,1,0,1,0,0,1,0,24,0,0,0,0,0,1,10.5,0
"236",0,1,0,0,1,0,1,0,1,0,0,24.0104166666667,0,0,0,0,0,1,7.55,0
"237",1,0,1,0,1,1,0,0,0,1,0,44,0,0,0,0,1,0,26,0
"238",1,0,0,0,1,1,0,0,1,0,0,8,0,0,0,0,1,0,26.25,1
"239",1,0,1,0,1,0,1,0,0,1,0,19,0,0,0,0,0,1,10.5,0
"240",1,0,1,0,1,0,1,0,0,1,0,33,0,0,0,0,0,1,12.275,0
"241",0,1,0,0,0,1,0,0,1,0,0,24.0104166666667,0,0,0,0,1,0,14.4542,0
"242",0,1,0,1,0,1,0,0,1,0,0,24.0104166666667,0,0,0,0,1,0,15.5,1
"243",1,0,1,0,1,0,1,0,0,1,0,29,0,0,0,0,0,1,10.5,0
"244",0,1,1,0,1,0,1,0,0,1,0,22,0,0,0,0,0,1,7.125,0
"245",0,1,1,0,0,0,1,0,0,1,0,30,0,0,0,0,0,1,7.225,0
"246",0,0,1,1,0,1,0,0,0,0,0,44,1,0,0,0,1,0,90,0
"247",0,1,0,0,1,0,1,0,1,0,0,25,0,0,0,0,0,1,7.775,0
"248",1,0,0,0,1,1,0,0,0,0,1,24,0,0,0,0,1,0,14.5,1
"249",0,0,1,0,1,1,0,0,0,1,0,37,1,0,0,0,1,0,52.5542,1
"250",1,0,1,0,1,1,0,0,0,0,0,54,0,0,0,0,1,0,26,0
"251",0,1,1,0,1,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.25,0
"252",0,1,0,0,1,1,0,0,0,0,1,29,1,0,0,0,1,0,10.4625,0
"253",0,0,1,0,1,0,1,0,0,1,0,62,1,0,0,0,0,1,26.55,0
"254",0,1,1,0,1,1,0,0,0,1,0,30,0,0,0,0,1,0,16.1,0
"255",0,1,0,0,1,1,0,0,0,0,1,41,0,0,0,0,1,0,20.2125,0
"256",0,1,0,0,0,1,0,0,0,0,1,29,0,0,0,0,1,0,15.2458,1
"257",0,0,0,0,0,0,1,0,0,0,1,42.3995327102804,0,0,0,0,1,0,79.2,1
"258",0,0,0,0,1,0,1,0,1,0,0,30,1,0,0,0,1,0,86.5,1
"259",0,0,0,0,0,0,1,0,1,0,0,35,0,0,0,0,1,0,512.3292,1
"260",1,0,0,0,1,1,0,0,0,0,1,50,0,0,0,0,1,0,26,1
"261",0,1,1,1,0,0,1,0,0,1,0,28.8628808864266,0,0,0,0,0,1,7.75,0
"262",0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,31.3875,1
"263",0,0,1,0,1,1,0,0,0,1,0,52,1,0,0,0,1,0,79.65,0
